MONOMER3O-702	YMR298W	Q03579	ceramide synthase LIP1 component	
G3O-32870-MONOMER	G3O-32870	Q00453	RGM1	
G3O-33275-MONOMER	G3O-33275	P36520	Mitochondrial Ribosomal Protein, Large subunit	
G3O-30039-MONOMER	G3O-30039	P08458	SPorulation Specific	
G3O-29216-MONOMER	G3O-29216	P38156	MALtose fermentation	
G3O-33673-MONOMER	G3O-33673	Q12216	Neck Filament Interacting	
G3O-31616-MONOMER	G3O-31616	P46987	Ran-Binding Homologue	
G3O-34073-MONOMER	G3O-34073	Q08920	Cap Binding Complex	
G3O-30497-MONOMER	G3O-30497	P43621	COPI coatomer complex &delta; subunit	
G3O-29630-MONOMER	G3O-29630	P32568	Sensitivity to 4-NitroQuinoline-N-oxide	
G3O-30881-MONOMER	G3O-30881	P46948	SuperKIller	
G3O-32020-MONOMER	G3O-32020	P28584	TRansport of potassium (K)	
MONOMER3O-4105	G3O-4104	P32784	glycerol-3-phosphate 1-O-acyltransferase	Suppressor of Choline-Transport mutants
G3O-32413-MONOMER	G3O-32413	P0C0T4	Ribosomal Protein of the Small subunit	
YIL009W-MONOMER	YIL009W	P39002	acyl-CoA synthase	
G3O-31325-MONOMER	G3O-31325	P40523	Unknown	
G3O-32854-MONOMER	G3O-32854	Q03825	Multicopy Suppressor of STA genes	
YPR184W-MONOMER	YPR184W	Q06625	glycogen debranching enzyme	glycogen debranching system
G3O-33259-MONOMER	G3O-33259	P53845	YIP1-Interacting Factor	
G3O-30023-MONOMER	G3O-30023	P51402	Ribosomal Protein of the Large subunit	
G3O-29200-MONOMER	G3O-29200	P38352	SCF Associated Factor	
G3O-33656-MONOMER	G3O-33656	P32913	Vacuolar Protein Sorting	
G3O-31600-MONOMER	G3O-31600	P46999	Unknown	
G3O-34057-MONOMER	G3O-34057	P39011	Bud EMergence	
G3O-30480-MONOMER	G3O-30480	P43607	Regulator of rDNA Transcription	
G3O-29612-MONOMER	G3O-29612	P48365	Gtpase-activating protein for Ypt7 Protein	
G3O-30865-MONOMER	G3O-30865	P17891	Clathrin Light Chain	
G3O-32004-MONOMER	G3O-32004	P36123	Sit4 Associated Protein	
MONOMER3O-373	YKL008C	P28496	ceramide synthase LAC1 component	
G3O-32397-MONOMER	G3O-32397	Q06159	Unknown	
YHR123W-MONOMER	YHR123W	P22140	sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase	
G3O-31309-MONOMER	G3O-31309	P40534	Pheromone-Regulated Membrane protein	
G3O-32838-MONOMER	G3O-32838	P40217	Translation Initiation Factor	
YPL273W-MONOMER	YPL273W	Q08985	AdoMet-homocysteine methyltransferase	
G3O-33243-MONOMER	G3O-33243	P53853	Vacuolar Protein Sorting	
G3O-30007-MONOMER	G3O-30007	Q03375	Complexed With Cef1p	
G3O-29184-MONOMER	G3O-29184	P38339	Related GAP Domain	
G3O-33640-MONOMER	G3O-33640	Q99210	Unknown	
G3O-31584-MONOMER	G3O-31584	P10081	Translation Initiation Factor	
G3O-34041-MONOMER	G3O-34041	Q12245	PrOteasome Chaperone	
G3O-30464-MONOMER	G3O-30464	P43594	Altered Inheritance rate of Mitochondria	
G3O-29596-MONOMER	G3O-29596	Q12310	Pheromone Response Regulator	
G3O-30849-MONOMER	G3O-30849	P48234	Essential Nuclear Protein	
G3O-31988-MONOMER	G3O-31988	Q02209	Unknown	
MONOMER3O-3	YJL031C	Q00618	protein geranylgeranyl transferase type II, alpha subunit	
G3O-32380-MONOMER	G3O-32380	Q05874	Nicotinamide N-methylTransferase	
YHR018C-MONOMER	YHR018C	P04076	argininosuccinate lyase	
G3O-31293-MONOMER	G3O-31293	P40547	Vacuolar Import and Degradation	
G3O-32822-MONOMER	G3O-32822	P39685	POre Membrane	
YPL028W-MONOMER	YPL028W	P41338	Erg10	
G3O-33227-MONOMER	G3O-33227	P53866	SQuelch of Splicing suppression	
G3O-29991-MONOMER	G3O-29991	Q00947	Species-specific tRNA Processing	
G3O-29168-MONOMER	G3O-29168	P21372	Pre-mRNA Processing	
G3O-33624-MONOMER	G3O-33624	Q12511	Phosphatase Two C	
G3O-31566-MONOMER	G3O-31566	P47025	Mitochondrial DiVision	
G3O-34025-MONOMER	G3O-34025	Q02931	Net1 Associated Nuclear protein	
G3O-30448-MONOMER	G3O-30448	P32908	Stability of MiniChromosomes	
G3O-29580-MONOMER	G3O-29580	P38968	SECretory	
G3O-30832-MONOMER	G3O-30832	P53274	Unknown	
G3O-31972-MONOMER	G3O-31972	P36036	Yeast RNA Annealing protein	
MONOMER3O-214	YHR063C	P38787	gluconate 5-dehydrogenase	5-ketogluconate reductase
G3O-32364-MONOMER	G3O-32364	P0C0X0	Ribosomal Protein of the Small subunit	
YGR247W-MONOMER	YGR247W	P53314	cyclic phosphodiesterase	
G3O-31276-MONOMER	G3O-31276	Q3E758	Unknown	
G3O-32806-MONOMER	G3O-32806	Q04458	fatty aldehyde dehydrogenase	
YOR274W-MONOMER	YOR274W	P07884	transfer RNA isopentenyl transferase	
G3O-33211-MONOMER	G3O-33211	P32572	SPorulation Specific	
G3O-29975-MONOMER	G3O-29975	P38931	Suppressor of SNf1	
G3O-29152-MONOMER	G3O-29152	Q01448	Histone Periodic Control	
G3O-33608-MONOMER	G3O-33608	Q92331	Vacuolar Protein Sorting	
G3O-31548-MONOMER	G3O-31548	P40310	TOK1	
G3O-34009-MONOMER	G3O-34009	Q02873	Unknown	
G3O-30432-MONOMER	G3O-30432	P43569	CCR4 Associated Factor	
G3O-29564-MONOMER	G3O-29564	Q12027	Unknown	
G3O-30816-MONOMER	G3O-30816	P53262	V0 Assembly protein	
G3O-31956-MONOMER	G3O-31956	P07236	Mitochondrial aminoacyl-tRNA Synthetase, Threonine	
MONOMER3O-12	G3O-0	Q07729		GUanine Deaminase
G3O-32348-MONOMER	G3O-32348	Q06538	Unknown	
YGR169C-MONOMER	YGR169C	P53294	tRNA pseudouridine<sup>31</sup> synthase	pseudouridylate synthase 6, pseudouridine synthase 6
G3O-31241-MONOMER	G3O-31241	P89114	Sporulation in the Absence of spo Eleven	
G3O-32790-MONOMER	G3O-32790	Q04304	Unknown	
YOR163W-MONOMER	YOR163W	Q99321	diadenosine and diphosphoinositol polyphosphate phosphohydrolase	
G3O-33195-MONOMER	G3O-33195	P53876	Unknown	
G3O-29959-MONOMER	G3O-29959	P0CX54	Ribosomal Protein of the Large subunit	
G3O-29136-MONOMER	G3O-29136	P38305	Altered Inheritance rate of Mitochondria	
G3O-33591-MONOMER	G3O-33591	Q02794	Suppressor of Tbp Deletion	
G3O-31532-MONOMER	G3O-31532	P47037	Structural Maintenance of Chromosomes	
G3O-33993-MONOMER	G3O-33993	Q02895	YPL088W	
G3O-30416-MONOMER	G3O-30416	P43554	SWi/snf-associated Protein	
G3O-29548-MONOMER	G3O-29548	Q12136	Something About Silencing	
G3O-30800-MONOMER	G3O-30800	P53254	U Three Protein	
G3O-31940-MONOMER	G3O-31940	P36048	Small NUclear ribonucleoprotein associated	
MONOMER-15582	G-11958	P32469	diphthine synthase	
G3O-32332-MONOMER	G3O-32332	Q05809	Cytochrome Oxidase Assembly factor	
YGR007W-MONOMER	YGR007W	P33412	phosphoethanolamine cytidylyltransferase	
G3O-31225-MONOMER	G3O-31225	P38883	RIbosome eXport	
G3O-28982-MONOMER	G3O-28982	P38172	Unknown	
G3O-32774-MONOMER	G3O-32774	Q02486	ARS-Binding Factor	
YOL165C-MONOMER	YOL165C	Q08361	aryl-alcohol dehydrogenase	
G3O-33179-MONOMER	G3O-33179	P53893	RIbosome Assembly	
G3O-29943-MONOMER	G3O-29943	Q04175	Suppressor of mRNA eXport Mutant	
G3O-29120-MONOMER	G3O-29120	P32909	Suppressor of MYo2-66	
G3O-33575-MONOMER	G3O-33575	P40917	Chromosome INstability	
G3O-31516-MONOMER	G3O-31516	P40335	carboxyPEPtidase Y-deficient	
G3O-33977-MONOMER	G3O-33977	Q02749	Unknown	
G3O-30397-MONOMER	G3O-30397	P0C0V2	Unknown	
G3O-29532-MONOMER	G3O-29532	P23594	Protein PHosphatase	
G3O-30784-MONOMER	G3O-30784	P53246	late ENdosome and Vacuole interface function	
G3O-31924-MONOMER	G3O-31924	P36057	Signal Recognition Particle	
G3O-34381-MONOMER	G3O-34381	Q9ZZW7	BI3	
G3O-32316-MONOMER	G3O-32316	Q05777	YLR194C	
YGL148W-MONOMER	YGL148W	P28777	chorismate synthase	
G3O-31209-MONOMER	G3O-31209	P38866	FMO1	
G3O-28966-MONOMER	G3O-28966	P32357	A1-Alpha2 Repression	
G3O-32758-MONOMER	G3O-32758	P46679	Sin Three Binding protein	
YOL049W-MONOMER	YOL049W	Q08220	glutathione synthetase	
CPLX3O-10522			ribonuclease P	
G3O-33163-MONOMER	G3O-33163	P34166	Mating Factor A	
G3O-32900-MONOMER	G3O-32900	Q03660	TRapp Subunit	
G3O-33305-MONOMER	G3O-33305	P42840	Unknown	
G3O-29927-MONOMER	G3O-29927	Q06406	Like SM	
G3O-30118-MONOMER	G3O-30118	Q3E818	Unknown	
G3O-29103-MONOMER	G3O-29103	P38282	Suppressor of PrP38-1	
G3O-33559-MONOMER	G3O-33559	Q12218	TIp1-Related	
G3O-29268-MONOMER	G3O-29268	Q3E778	Unknown	
G3O-33703-MONOMER	G3O-33703	P32773	TOA1	
G3O-31500-MONOMER	G3O-31500	P20448	Helicase CA	
G3O-33961-MONOMER	G3O-33961	P29547	Calcium And Membrane-binding protein	
G3O-31646-MONOMER	G3O-31646	P40889	Unknown	
G3O-30352-MONOMER	G3O-30352	P0CX16	Unknown	
G3O-34103-MONOMER	G3O-34103	Q08963	Looks Exceptionally like U2A	
G3O-29516-MONOMER	G3O-29516	P52891	NUclear Pore	
G3O-30544-MONOMER	G3O-30544	P53189	Soluble Cell Wall protein	
G3O-30768-MONOMER	G3O-30768	P53231	Unknown	
G3O-29660-MONOMER	G3O-29660	Q04311	VCP/Cdc48-associated Mitochondrial Stress-responsive	
G3O-30912-MONOMER	G3O-30912	P39676	Yeast HemogloBin-like protein	
G3O-31908-MONOMER	G3O-31908	P12688	Yeast Protein Kinase	
G3O-34364-MONOMER	G3O-34364	Q3E7B4	Unknown	
G3O-32050-MONOMER	G3O-32050	P36163	Overlapping activity with M-AAA protease	
G3O-32300-MONOMER	G3O-32300	Q06247	Unknown	
MONOMER3O-90	YBR176W	P38122	3-methyl-2-oxobutanoate hydroxymethyltransferase	5,10-methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase
YGL001C-MONOMER	YGL001C	P53199	C-3 sterol dehydrogenase	C-4 sterol decarboxylase
G3O-32443-MONOMER	G3O-32443	Q05937	protein with similarity to Stp1p	
G3O-31193-MONOMER	G3O-31193	P38853	KELch repeat	
G3O-28950-MONOMER	G3O-28950	P34217	Psi+ INducibility	
G3O-31356-MONOMER	G3O-31356	P40492	Function required for Yeast Viability	
G3O-32737-MONOMER	G3O-32737	Q05080	Homolog Of cdc Fifteen	
G3O-32884-MONOMER	G3O-32884	Q04338	Vps10 (Ten) Interacting	
YNL267W-MONOMER	YNL267W	P39104	phosphatidylinositol 4-kinase	
G3O-33289-MONOMER	G3O-33289	P0CX50	Ribosomal Protein of the Large subunit	
G3O-30085-MONOMER	G3O-30085	P01098	STabilizing Factor	
G3O-33146-MONOMER	G3O-33146	P53918	ESBP6	
G3O-29252-MONOMER	G3O-29252	Q3E770	seriPAUperin	
G3O-29911-MONOMER	G3O-29911	Q06338	BCP1	
G3O-29087-MONOMER	G3O-29087	P38090	high-Affinity Glutamine Permease	
G3O-33687-MONOMER	G3O-33687	Q12343	MEDiator complex	
G3O-33543-MONOMER	G3O-33543	Q05164	Haze Protective Factor	
G3O-31630-MONOMER	G3O-31630	P32525	ExtraCellular Mutant	
G3O-31484-MONOMER	G3O-31484	P46962	Carboxy-Terminal domain Kinase	
G3O-34087-MONOMER	G3O-34087	Q08949	DNA Damage Checkpoint	
G3O-33945-MONOMER	G3O-33945	Q02648	tRNA<small><sup>Ser</sup></small> (uridine<small><sup>44</sup></small>-2&prime;-<em>O</em>)-methyltransferase	tRNA(M-2-U44)-methyltransferase, tRNA (uracil-O(2)-)-methyltransferase, tRNA<sup>Ser</sup> (uridine<sup>44</sup>-2'-<i>O</i>)-methyltransferase
G3O-30528-MONOMER	G3O-30528	P53196	Regulatory Particle Non-ATPase	
G3O-30336-MONOMER	G3O-30336	P29311	Brain Modulosignalin Homologue	
G3O-29644-MONOMER	G3O-29644	Q00816	REsistance to Glucose repression	
G3O-29500-MONOMER	G3O-29500	Q12377	Regulatory Particle Non-ATPase	
G3O-30896-MONOMER	G3O-30896	P32905	Ribosomal Protein of the Small subunit	
G3O-30752-MONOMER	G3O-30752	P28737	Mitochondrial Sorting of Proteins	
G3O-32034-MONOMER	G3O-32034	P36149	Blocked Early in Transport	
MONOMER3O-68	G3O-19	P22803	reduced thioredoxin 2	ThioRedoXin
G3O-31892-MONOMER	G3O-31892	P34250	Stability of Eisosomes Guaranteed	
G3O-34316-MONOMER	G3O-34316	Q06593	OligoPeptide Transporter	
G3O-32427-MONOMER	G3O-32427	P41698	BUD site selection	
G3O-32284-MONOMER	G3O-32284	P27801	carboxyPEPtidase Y-deficient	
YIL125W-MONOMER	YIL125W	P20967	alpha-ketoglutarate dehydrogenase subunit	
YER178W-MONOMER	YER178W	P16387	pyruvate dehydrogenase E1 &alpha; subunit	
G3O-31339-MONOMER	G3O-31339	P20050	HOmolog Pairing	
G3O-32868-MONOMER	G3O-32868	Q03220	Capping enzyme mRNA Triphosphatase-Like	
G3O-31177-MONOMER	G3O-31177	P0CX28	Ribosomal Protein of the Large subunit	
G3O-28934-MONOMER	G3O-28934	P38200	Sensitivity to High Expression	
G3O-33273-MONOMER	G3O-33273	P53833	Processing Of Precursor RNAs	
G3O-32721-MONOMER	G3O-32721	Q04347	BUD site selection	
G3O-30037-MONOMER	G3O-30037	Q04411	URacil Catabolism	
YNL104C-MONOMER	YNL104C	P06208	alpha-isopropylmalate synthase	
G3O-29214-MONOMER	G3O-29214	P38361	PHOsphate metabolism	
G3O-33130-MONOMER	G3O-33130	P13382	POLymerase	
G3O-33670-MONOMER	G3O-33670	P33302	Pleiotropic Drug Resistance	
G3O-29895-MONOMER	G3O-29895	Q05498	Faf1p Copurifying Factor	
G3O-31614-MONOMER	G3O-31614	P46988	PreFolDin	
G3O-29071-MONOMER	G3O-29071	P06787	CalMoDulin	
G3O-34071-MONOMER	G3O-34071	Q08919	Transferrin REceptor like	
G3O-30495-MONOMER	G3O-30495	P19955	Yeast Mitochondrial Ribosomal protein	
G3O-33526-MONOMER	G3O-33526	Q08270	Unknown	
G3O-29628-MONOMER	G3O-29628	P40317	Suppressor Of Kinase	
G3O-31451-MONOMER	G3O-31451	P40583	YaPSin	
G3O-33929-MONOMER	G3O-33929	P53600	COPI coatomer complex &zeta; subunit	
G3O-30879-MONOMER	G3O-30879	P53301	Congo Red Hypersensitive	
G3O-30319-MONOMER	G3O-30319	P40095	Unknown	
G3O-32018-MONOMER	G3O-32018	P25293	Nucleosome Assembly Protein	
G3O-29484-MONOMER	G3O-29484	Q07454	Unknown	
MONOMER3O-409	YDL080C	Q07471	keto-isocaproate decarboxylase subunit	
G3O-30736-MONOMER	G3O-30736	P41896	Transcription Factor G	
G3O-32411-MONOMER	G3O-32411	Q02721	RECombination	
G3O-31876-MONOMER	G3O-31876	P36008	Translation Elongation Factor	
YHR216W-MONOMER	YHR216W	P38697	IMP dehydrogenase	
G3O-34300-MONOMER	G3O-34300	P52917	Vacuolar Protein Sorting	
G3O-31323-MONOMER	G3O-31323	P40525	Ribosomal Protein of the Large subunit	
G3O-32852-MONOMER	G3O-32852	Q12674	Drs2 Neo1 Family	
G3O-32268-MONOMER	G3O-32268	Q12288	Unknown	
YER043C-MONOMER	YER043C	P39954	S-adenosyl-L-homocysteine hydrolase	
YPR167C-MONOMER	YPR167C	P18408	Met16	
G3O-31161-MONOMER	G3O-31161	P38827	SET domain-containing	
G3O-33257-MONOMER	G3O-33257	P50874	Origin Recognition Complex	
G3O-28918-MONOMER	G3O-28918	P32785	Formyl-Methionyl-tRNA Transformylase	
G3O-30021-MONOMER	G3O-30021	P28791	SECretory	
G3O-32704-MONOMER	G3O-32704	Q12746	Processing of Gas1p and ALP	
G3O-29198-MONOMER	G3O-29198	P27344	DNA Polymerase B (II) subunit	
YMR271C-MONOMER	YMR271C	P30402	orotate phosphoribosyltransferase	
G3O-33654-MONOMER	G3O-33654	Q12375	ORnithine Transporter	
G3O-33114-MONOMER	G3O-33114	P40850	Maintenance of K2 Killer Toxin	
G3O-31598-MONOMER	G3O-31598	P47001	CIk1 Suppressing	
G3O-29879-MONOMER	G3O-29879	Q06678	Mitochondrial Ribosomal Protein, Large subunit	
G3O-34055-MONOMER	G3O-34055	Q99373	PETite colonies	
G3O-30478-MONOMER	G3O-30478	P43606	Peptide TRansport	
G3O-29055-MONOMER	G3O-29055	P15873	POLymerase	
G3O-29610-MONOMER	G3O-29610	Q07660	BREfeldin A sensitivity	
G3O-33510-MONOMER	G3O-33510	Q12469	STE20/PAK homologous Kinase related to Morphogenesis	
G3O-31435-MONOMER	G3O-31435	P40570	Unknown	
G3O-30863-MONOMER	G3O-30863	P53292	Mitochondrial Ribosomal Protein, Small subunit	
G3O-33910-MONOMER	G3O-33910	P0C272	Unknown	
G3O-32002-MONOMER	G3O-32002	P14741	General Control Nonderepressible	
G3O-30303-MONOMER	G3O-30303	P22134	3-MethylAdenine DNA Glycosylase	
MONOMER3O-370	YHL003C	P38703	ceramide synthase LAG1 component	
G3O-29468-MONOMER	G3O-29468	P50112	Kre9(Nine) Homolog	
G3O-32395-MONOMER	G3O-32395	Q06704	shares with Integrins and Myosins significant Homology	
YHR106W-MONOMER	YHR106W	P38816	thioredoxin reductase	
G3O-30720-MONOMER	G3O-30720	P53060	Reduced Meiotic Recombination	
G3O-31860-MONOMER	G3O-31860	P33749	Multicopy suppressor of SNF1 mutation	
G3O-31307-MONOMER	G3O-31307	P15790	Casein Kinase Alpha subunit	
G3O-34284-MONOMER	G3O-34284	Q06537	Unknown	
G3O-32836-MONOMER	G3O-32836	P40214	Unknown	
G3O-32252-MONOMER	G3O-32252	Q08045	Long Chronological Lifespan 2	
YPL262W-MONOMER	YPL262W	P08417	fumarate hydralase	
G3O-33241-MONOMER	G3O-33241	P32911	SUppressor of Initiator codon	
YEL024W-MONOMER	YEL024W	P08067	ubiquinol-cytochrome c reductase, Rieske iron-sulfur protein subunit	
G3O-31145-MONOMER	G3O-31145	P38812	GEnetic interactors of Prohibitins	
G3O-30005-MONOMER	G3O-30005	Q03370	PEroXisome related	
G3O-28895-MONOMER	G3O-28895	P0CX18	YAR066W	
G3O-29182-MONOMER	G3O-29182	P38337	Set1c, Hypothetical G	
G3O-32688-MONOMER	G3O-32688	Q01846	Mitochondrial Distribution and Morphology	
G3O-33638-MONOMER	G3O-33638	Q99188	Regulator of heterotrimeric G protein Signaling	
YMR120C-MONOMER	YMR120C	P38009	ADE17 monomer	
G3O-31582-MONOMER	G3O-31582	P10566	Mitochondrial RNA Splicing	
G3O-33098-MONOMER	G3O-33098	P41813	ForK head Homolog	
G3O-34039-MONOMER	G3O-34039	Q03002	Fatty acyl-CoA synthetase and RNA processing-associated Kinase.	
G3O-29863-MONOMER	G3O-29863	Q06639	Remodel the Structure of Chromatin	
G3O-30462-MONOMER	G3O-30462	P43535	General Control Nonderepressible	
G3O-29038-MONOMER	G3O-29038	P38085	Tyrosine and tryptophan Amino acid Transporter	
G3O-29594-MONOMER	G3O-29594	Q02774	Super high Histidine Resistant	
G3O-33494-MONOMER	G3O-33494	P40339	Replication Factor C	
G3O-30846-MONOMER	G3O-30846	P53286	BaTteN disease	
G3O-31986-MONOMER	G3O-31986	Q02206	Remodel the Structure of Chromatin	
G3O-31417-MONOMER	G3O-31417	P40438	VTH1	
MONOMER3O-29	YMR108W	P07342	acetolactate synthase, catalytic subunit	
G3O-30286-MONOMER	G3O-30286	P38682	ADP-ribosylation factor GTPase-activating protein GLO3	
G3O-29452-MONOMER	G3O-29452	Q12100	Ribosome biogenesis and TRNA synthetase-associated Kinase	
G3O-32378-MONOMER	G3O-32378	Q05863	Unknown	
G3O-30704-MONOMER	G3O-30704	P53074	Unknown	
YHR007C-MONOMER	YHR007C	P10614	cytochrome P450 51	
G3O-31844-MONOMER	G3O-31844	P36093	PseudoHyphal Determinant	
G3O-31291-MONOMER	G3O-31291	P12630	BARrier to the alpha factor response	
G3O-32820-MONOMER	G3O-32820	P40963	Something About Silencing	
G3O-34268-MONOMER	G3O-34268	P0CX30	Ribosomal Protein of the Small subunit	
G3O-32236-MONOMER	G3O-32236	Q12509	Actin-Related Protein	
G3O-29150-MONOMER	G3O-29150	P15807		
YPL019C-MONOMER	YPL019C	Q02725	polyphosphate synthetase	
G3O-33225-MONOMER	G3O-33225	P53538	Suppressor of SUa7, gene 2	
YDR408C-MONOMER	YDR408C	P04161		Ade8
G3O-31129-MONOMER	G3O-31129	P38691	KSP1	
G3O-29989-MONOMER	G3O-29989	P34165	Mating Factor A	
G3O-28877-MONOMER	G3O-28877	D6VPM8	YAR023C	
G3O-29166-MONOMER	G3O-29166	P38329	Vacuolar protein Homologous to CCC family	
G3O-32672-MONOMER	G3O-32672	Q04545	Topoisomerase I Damage Affected	
G3O-33622-MONOMER	G3O-33622	Q12324	Yeast Vacuolar Conductance	
YML091C-MONOMER	YML091C	Q02773	ribonuclease P protein subunit	
G3O-31564-MONOMER	G3O-31564	P42944	Gata Zinc Finger protein	
G3O-33082-MONOMER	G3O-33082	P53953	Sed Five Binding	
G3O-34023-MONOMER	G3O-34023	P33419	Spindle Pole Component	
G3O-29847-MONOMER	G3O-29847	Q05648	Unknown	
G3O-30446-MONOMER	G3O-30446	P43582	WW domain containing protein interacting with Metacaspase	
G3O-29022-MONOMER	G3O-29022	P38232	REsistance to Glucose repression	
G3O-29578-MONOMER	G3O-29578	Q12063	dehydrodolichyl diphosphate syntase NUS1 subunit	
G3O-33478-MONOMER	G3O-33478	Q08232	Unknown	
G3O-30830-MONOMER	G3O-30830	P53043	Protein Phosphatase T	
G3O-33846-MONOMER	G3O-33846	Q08908	Ferric REductase	
G3O-31970-MONOMER	G3O-60	P32368	phosphoinositide phosphatase	phosphatidylinositol phosphate phosphatase
G3O-30270-MONOMER	G3O-30270	P40064	NUclear Pore	
MONOMER3O-20	G3O-28	P53178	UDP-N-acetylglucosamine transferase Alg13p subunit	UDP-<i>N</i>-acetylglucosamine: dolichyl diphosphate <i>N</i>-acetylglucosamine, <i>N</i>-acetylglucosamine transferase Alg13p subunit, Asparagine-Linked Glycosylation
G3O-29436-MONOMER	G3O-29436	Q12124	MEDiator complex	
G3O-32362-MONOMER	G3O-32362	Q99260	Yeast Protein Two	
G3O-30688-MONOMER	G3O-30688	P53088	Needs Cla4 to Survive	
G3O-31274-MONOMER	G3O-31274	Q8TGK0	Unknown	
G3O-31828-MONOMER	G3O-31828	P35210	SuPpressor of Ty	
G3O-32804-MONOMER	G3O-32804	Q04438	Stationary Phase Gene	
G3O-34252-MONOMER	G3O-34252	Q06106	Multiple RNA-binding domain	
YOR245C-MONOMER	YOR245C	Q08650	acyl-CoA:diacylglycerol acyltransferase	
G3O-32220-MONOMER	G3O-32220	P32522	PETite colonies	
G3O-33209-MONOMER	G3O-33209	P40165	NADHX epimerase	
YDR242W-MONOMER	YDR242W	P22580	amidase	
G3O-29973-MONOMER	G3O-29973	Q04087	Loss of RDNA Silencing	
G3O-31113-MONOMER	G3O-31113	P38784	VMA22	
YMR256C-MONOMER	YMR256C	P10174	cytochrome c oxidase subunit VII	
G3O-33606-MONOMER	G3O-33606	Q08471	Mbf and Sbf Associated	
G3O-28859-MONOMER	G3O-28859	P39718	PEroXisome related	
G3O-32656-MONOMER	G3O-32656	P07271	Petite Integration Frequency	
G3O-31546-MONOMER	G3O-31546	P47026	GPI-anchored Wall protein Transfer	
YLR449W-MONOMER	YLR449W	Q06205	peptidyl-prolyl cis-trans isomerase (PPIase)	
G3O-34007-MONOMER	G3O-34007	Q02875	SmY2 Homolog	
G3O-33066-MONOMER	G3O-33066	P53966	Kre Two Related	
G3O-30430-MONOMER	G3O-30430	P41546	Homologous to Atf/Creb1	
G3O-29831-MONOMER	G3O-29831	Q12379	Spore Wall Maturation	
G3O-29562-MONOMER	G3O-29562	Q12515	Phosphorylated After Rapamycin	
G3O-29006-MONOMER	G3O-29006	P38071	2-enoyl thioester reductase	
G3O-30814-MONOMER	G3O-30814	P32585	Suppressor of RNA polymerase B	
G3O-33461-MONOMER	G3O-33461	Q08219	Regulator of rDNA Transcription	
G3O-31954-MONOMER	G3O-31954	P32463	Acyl Carrier Protein	
G3O-33830-MONOMER	G3O-33830	Q08831	VTi1-2 Suppressor	
MONOMER3O-11	G3O-4	Q05533		
G3O-30254-MONOMER	G3O-30254	P40057	Unknown	
G3O-32346-MONOMER	G3O-32346	Q05998	THIamine metabolism	
YGR155W-MONOMER	YGR155W	P32582	Cys4	Str4
G3O-29419-MONOMER	G3O-29419	Q96VH5	Mitochondrial Organizing Structure	
G3O-30672-MONOMER	G3O-30672	P39938	Ribosomal Protein of the Small subunit	
G3O-31239-MONOMER	G3O-31239	P38899	YHR218W	
G3O-31811-MONOMER	G3O-31811	Q3E801	Experimental	
G3O-28996-MONOMER	G3O-28996	P02309	Histone H Four	
G3O-34236-MONOMER	G3O-34236	Q06836	Suppressor of ypt3	
G3O-32788-MONOMER	G3O-32788	Q04301	Vacuolar Basic Amino acid transporter	
YOR143C-MONOMER	YOR143C	P35202	thiamin pyrophosphokinase	
YDR062W-MONOMER	YDR062W	P40970	serine palmitoyltransferase catalytic subunit	
G3O-31097-MONOMER	G3O-31097	P38771	Ribosome Recycling Factor	
G3O-33193-MONOMER	G3O-33193	P53877	Involved in Processing ITS2	
G3O-32207-MONOMER	G3O-32207	Q12035	Faf1p Copurifying Factor	
G3O-29957-MONOMER	G3O-29957	Q04033	Unknown	
G3O-28843-MONOMER	G3O-28843	P28004	Pre-mRNA Processing	
G3O-29134-MONOMER	G3O-29134	P38127	Replication In Mitochondria	
G3O-32637-MONOMER	G3O-32637	Q03697	YMD8	
G3O-33589-MONOMER	G3O-33589	P33448	Translocase of the Outer Mitochondrial membrane	
YLR304C-MONOMER	YLR304C	P19414	aconitase	
G3O-31530-MONOMER	G3O-31530	P40359	Partner of Sld Five	
G3O-33991-MONOMER	G3O-33991	P48415	SECretory	
G3O-33050-MONOMER	G3O-33050	P53983	Amino acid Sensor-Independent	
G3O-29815-MONOMER	G3O-29815	Q03782	Small NUclear ribonucleoprotein associated	
G3O-30414-MONOMER	G3O-30414	P43552	Unknown	
G3O-33445-MONOMER	G3O-33445	Q08187	Unknown	
G3O-29546-MONOMER	G3O-29546	Q12142	AuTophaGy related	
G3O-30798-MONOMER	G3O-30798	P53252	Phosphorylation Inhibited by Long chain bases	
G3O-33814-MONOMER	G3O-33814	P52492	UBiquitin-Conjugating	
G3O-30238-MONOMER	G3O-30238	P40040	suppressor of the Transcriptional defect of Hpr1 by Overexpression	
G3O-31938-MONOMER	G3O-31938	P36003	Nitrogen Network Kinase	
MONOMER-15579	G-11955	P32461	diphthamide biosynthesis protein 2	diphtheria toxin resistance protein 2
G3O-29389-MONOMER	G3O-29389	P25366	Oxidant-induced Cell-cycle Arrest	
G3O-30656-MONOMER	G3O-30656	P45820	HydroxyUrea Resistance	
G3O-32330-MONOMER	G3O-32330	Q05790	CRH-Related	
G3O-31765-MONOMER	G3O-31765	P15365	Degradation of Allantoin	
YGL253W-MONOMER	YGL253W	P04807	hexokinase II	
G3O-34220-MONOMER	G3O-34220	P40347	Unknown	
